CustomerID,BillingMonth,TotalConsumption,TotalAmount,PaymentStatus
1,2024-11-01,976.87,122.41,Paid
1,2024-10-01,322.57,64.22,Unpaid
1,2024-09-01,777.57,128.35,Unpaid
1,2024-08-01,967.64,133.18,Unpaid
1,2024-07-01,232.41,28.2,Paid
1,2024-06-01,502.26,64.98,Paid
1,2024-05-01,439.7,80.77,Unpaid
1,2024-04-01,576.28,74.08,Unpaid
1,2024-03-01,235.49,34.65,Unpaid
1,2024-02-01,562.63,85.48,Paid
1,2024-01-01,969.89,176.91,Paid
1,2023-12-01,995.18,134.51,Unpaid
2,2024-11-01,461.02,68.77,Paid
2,2024-10-01,706.62,112.1,Unpaid
2,2024-09-01,585.33,108.33,Paid
2,2024-08-01,893.46,131.84,Paid
2,2024-07-01,803.07,117.2,Unpaid
2,2024-06-01,868.21,154.74,Paid
2,2024-05-01,575.72,103.15,Paid
2,2024-04-01,905.12,134.84,Paid
2,2024-03-01,374.09,65.08,Paid
2,2024-02-01,692.36,92.42,Unpaid
2,2024-01-01,949.02,133.76,Paid
2,2023-12-01,328.81,57.11,Paid
3,2024-11-01,679.37,101.48,Paid
3,2024-10-01,423.01,78.76,Paid
3,2024-09-01,487.63,83.9,Paid
3,2024-08-01,885.87,118.67,Unpaid
3,2024-07-01,946.45,117.5,Unpaid
3,2024-06-01,606.63,102.0,Paid
3,2024-05-01,407.94,65.01,Unpaid
3,2024-04-01,730.54,121.34,Paid
3,2024-03-01,951.29,125.07,Paid
3,2024-02-01,556.97,71.61,Unpaid
3,2024-01-01,277.24,34.31,Unpaid
3,2023-12-01,813.82,122.76,Paid
4,2024-11-01,257.63,50.28,Unpaid
4,2024-10-01,839.28,107.18,Paid
4,2024-09-01,778.08,94.85,Unpaid
4,2024-08-01,525.88,64.02,Unpaid
4,2024-07-01,381.69,65.14,Paid
4,2024-06-01,241.13,37.82,Unpaid
4,2024-05-01,672.65,118.52,Unpaid
4,2024-04-01,524.17,70.09,Unpaid
4,2024-03-01,558.73,82.44,Paid
4,2024-02-01,413.78,73.4,Unpaid
4,2024-01-01,386.62,57.62,Paid
4,2023-12-01,374.13,74.51,Unpaid
5,2024-11-01,469.33,88.62,Paid
5,2024-10-01,480.29,62.48,Unpaid
5,2024-09-01,653.78,104.62,Paid
5,2024-08-01,686.28,116.23,Unpaid
5,2024-07-01,528.58,80.5,Unpaid
5,2024-06-01,671.01,134.0,Unpaid
5,2024-05-01,711.41,117.36,Unpaid
5,2024-04-01,662.49,131.17,Paid
5,2024-03-01,940.6,175.92,Unpaid
5,2024-02-01,872.38,167.29,Unpaid
5,2024-01-01,355.05,45.31,Unpaid
5,2023-12-01,969.81,182.13,Paid
6,2024-11-01,920.02,130.74,Paid
6,2024-10-01,991.35,141.26,Paid
6,2024-09-01,418.03,73.2,Paid
6,2024-08-01,450.86,61.63,Paid
6,2024-07-01,673.6,111.15,Unpaid
6,2024-06-01,827.92,130.36,Unpaid
6,2024-05-01,853.39,128.04,Unpaid
6,2024-04-01,857.99,160.33,Unpaid
6,2024-03-01,284.21,42.2,Paid
6,2024-02-01,978.77,141.78,Paid
6,2024-01-01,811.99,105.92,Unpaid
6,2023-12-01,808.35,126.65,Unpaid
7,2024-11-01,809.19,105.26,Unpaid
7,2024-10-01,769.1,126.67,Unpaid
7,2024-09-01,363.61,49.36,Unpaid
7,2024-08-01,812.19,107.97,Paid
7,2024-07-01,714.03,133.85,Paid
7,2024-06-01,861.33,156.68,Paid
7,2024-05-01,681.89,120.59,Unpaid
7,2024-04-01,623.3,108.77,Unpaid
7,2024-03-01,457.5,64.89,Unpaid
7,2024-02-01,384.75,67.56,Unpaid
7,2024-01-01,973.36,187.36,Unpaid
7,2023-12-01,658.83,97.03,Paid
8,2024-11-01,600.06,79.74,Paid
8,2024-10-01,453.23,83.01,Unpaid
8,2024-09-01,858.86,110.59,Paid
8,2024-08-01,471.29,64.22,Unpaid
8,2024-07-01,734.22,93.84,Unpaid
8,2024-06-01,882.14,129.61,Unpaid
8,2024-05-01,224.58,40.75,Unpaid
8,2024-04-01,738.04,116.24,Paid
8,2024-03-01,521.44,78.23,Paid
8,2024-02-01,244.46,29.75,Paid
8,2024-01-01,775.43,96.87,Paid
8,2023-12-01,338.88,54.6,Paid
9,2024-11-01,481.26,88.05,Unpaid
9,2024-10-01,677.73,101.05,Unpaid
9,2024-09-01,555.33,76.78,Unpaid
9,2024-08-01,380.81,70.03,Paid
9,2024-07-01,377.75,53.66,Paid
